Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.Grunnbemanning totalt
895612162	Nøtteliten Familiebarnehage Avd Lillehagveien	2.3
984172540	Nøtteliten Familiebarnehage Avd Micheletvei	2.3
979437455	Nøtteliten Familiebarnehage Avd Snarøyveien	2.3
979437404	Nøtteliten Familiebarnehage Avd Storengveien	2.3
915150187	Nøtteliten Familiebarnehage Avd Strandalleen	2.3
979437390	Nøtteliten Familiebarnehage Avd Tveterlia	2.3
984173091	Nøtteliten Familiebarnehage Avd Velliveien	2.3
814045382	Nøtteliten Familiebarnehage Avd Østeråsbakken	2.3
976134176	Oddenskogen barnehage Sa	18.6
990940045	Piruetten Kanvas-Barnehage	12.7
974553937	Plahtejordet barnehage	14.4
873500832	Prestekragen Familiebarnehage	3
973500783	Ramstad barnehage	3
990839891	Reddiken Kanvas-Barnehage	20.1
893581642	Ringstabekk Fus barnehage AS	18.3
891554842	Rugekassen AS Avd Bærum	2.3
973449931	Ruglandveien barnehage	8.6
993492604	Rådyrhagen AS	1.3
974204592	Skarva Grendehus Avd. barnehage	4.5
977561345	Skaubo barnehage	8.5
974554259	Skogveien barnehage	12.4
974554267	Sleiverud barnehage	12
973336436	Snarøya barnehage	5.2
974554186	Stabekk barnehage Avdeling Stabekk	11.9
988340758	Stabekk Familie barnehage	2.3
973931733	Stabekktunet barnehage	8.2
974204622	Stiftelsen Almeskogen Steinerbarnehage	12
983164765	Stiftelsen Det Norske Veritas barnehage	14
973500848	Stiftelsen Sollia barnehage	8.2
885889212	Storeng Familiebarnehage Da	2.4
974705710	Storenga barnehage og Storenga Familiebarnehage Sa Avd Barnehage	7
994917145	Storenga barnehage og Storenga Familiebarnehage Sa Avd Familiebarnehage.	2.3
993593001	Storøya barnehage	31
973445979	Strand barnehage Sa	10
974553821	Ståvi barnehage Avd Borkenhagen	6
974554208	Ståvi barnehage Avd Skui	6
988495220	Sukkerspinn Familiebarnehage Da	2.3
973483528	Søråsen barnehage	15.1
981428048	Tanum barnehage Sa	17.2
991418776	The International Kindergarten	4.5
973484516	Tommeliten barnehage	3.6
974554232	Toppenhaug barnehage Avd Nedre Toppenhaug	9
974554275	Toppenhaug barnehage Avd Øvre Toppenhaug	9
913387031	Trygg Start Familebarnehage Avd Emma Hjort	2.3
997173848	Trygg Start Familiebarnehage Avd Blommenholmveien	2.3
992217731	Trygg Start Familiebarnehage Avd Grevlingåsen	2.3
992217723	Trygg Start Familiebarnehage Avd Grindstuveien	2.3
991963650	Trygg Start Familiebarnehage Avd Ramstadåsveien	2.3
984875843	Tusseladden Familiebarnehage Ans	2.4
973494422	Tøffe barnehage Sa	10.4
987697199	Vallerstua barnehage	4.1
974553856	Vallersvingen barnehage	18
973461168	Veslefrikk barnehage	6.4
916729375	Vøyen Fus barnehage AS	6
992328827	Østerås barnehage	33.7
987805331	Østerås barnehage Avd Ovenbakken	4
973500791	Østheim barnehage	6.3
976285964	Øverland barnehage AS	8.6
974554305	Ås barnehage Avd Vestre Jong	11.8
974554143	Ås barnehage Avd Vågebytoppen	9
974554135	Åsterud barnehage Avdeling Åsterudveien	11.4
973445936	Andungen barnehage 1. Sa	4
988435074	Ankertunet barnehage	12
973487493	Brensmork barnehage	13.7
990669449	Bønsmoen barnehage	28.8
994942174	Camilla barnehage AS	7.9
984034229	Dalsliene barnehage	15
992086696	Feiring Aktivitetsbarnehage AS	10.9
993299340	Knausen Fus barnehage AS	16.3
977423813	Ladderud barnehage AS	5.5
989965603	Læringsverkstedet barnehage Avd Bjørnsrud Skog	16
993445835	Læringsverkstedet barnehage Avd Dal	24.4
993945609	Læringsverkstedet barnehage Avd Folkeparken Dal	33.3
989964682	Læringsverkstedet barnehage Avd Mork	21
995412780	Læringsverkstedet barnehage Avd Råholt	27.6
975325954	Råholtbråtan barnehage	13.7
874706892	Stensby barnehage	11
975302121	Vilberg barnehage	16.5
982368154	Øvre Romerike Steinerbarnehage Veslebrunen	6
980079945	Åsleia Gårdsbarnehage	11
988008222	Bergskaug Fus barnehage AS	10
974188465	Fjellknatten barnehage	3
975295710	Flateby barnehage	17
977478944	Hauglia barnehage Sa	12.1
975315657	Kirkebygden barnehage	10.1
985713553	Mari Andelsbarnehage Sa	3
983830285	Melgård Andelsbarnehage	12
992098929	Mjær Fus barnehage AS	11
974146037	Nlm Barnehagene AS Avd Emaus Barnehage	6
972399442	Nylende barnehage Sa	16.4
975301842	Ytre Enebakk barnehage	17
987992921	Østmarkskollen Fus barnehage AS	12
984967608	Engebakken Familiebarnehage Da	2
980507300	Fetsund barnehage	15.5
873606002	Garderåsen barnehage	13.1
983436536	Kringen Åpen barnehage	1.1
973606018	Læringsverkstedet barnehage Avd Idrettsbarnehage Østersund	32.2
991042148	Nerdrumshagen barnehage AS	13.7
917329583	Nygård barnehage Avd Dalen	3
990177589	Nygård barnehage Avd Nygårdsveien	4.5
991262865	Ramstadskogen barnehage	18.9
972333123	Sommerly barnehage Sa	16
915482481	Tienbråten barnehage	29.3
975300242	Bilitt barnehage	11
987078537	Bjerkeveien barnehage Sa	14.9
988532703	Dal barnehage	8
972240702	Drøbak Montessoribarnehage	6.2
992004525	Dyrløkketoppen barnehage	2.4
899235932	Dyrløkketoppen Familiebarnehage	2.2
973025406	Dyrløkkeåsen barnehage	19.4
974825368	Frelsesarmeens Barnehager Avd Solgry	10
876009072	Frogn Foreldrelagsbarnehage	14.2
975301702	Heer barnehage	17
973446002	Heer Grendehus barnehage Sa	5.9
873471972	Lindebakken barnehage	5.7
994965263	Løvspretten Familiebarnehage	1.1
995085232	Ole Brumm Familiebarnehage	1.1
976775694	Tertitten barnehage Ans	7.5
975320227	Trollberget barnehage	9
975301710	Ullerud barnehage	20
