Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.0 år	2017.Alle eierformer.1 år	2017.Alle eierformer.2 år	2017.Alle eierformer.3 år	2017.Alle eierformer.4 år	2017.Alle eierformer.5 år
992581328	Gullungene Familiebarnehage Avd Vollsveien	0	6	2	0	0	0
974554216	Hamang barnehage	0	8	7	5	9	10
995849658	Haslum barnehage Avd Nedre Haslum	0	7	11	0	0	0
974186829	Haslum barnehage Avd Øvre Haslum	0	0	6	12	22	28
973469207	Helgerud Menighets barnehage	0	3	3	5	5	2
974554240	Helset barnehage Avd Helset	0	6	5	15	6	12
974554291	Helset barnehage Avd Skollerudveien	0	5	13	9	15	12
993233994	Hornienga Fus barnehage AS	0	33	41	30	28	34
987805420	Hosle barnehage Avd Hosle	0	10	10	21	23	27
994026143	Hosle barnehage Avd Klubbhuset	0	5	9	0	0	0
992382643	Hundsund barnehage	0	7	17	26	38	28
986136258	Huskestua barnehage	1	8	22	19	27	22
974553872	Høvik barnehage Hovedhus	0	9	28	14	45	47
973455079	International Montessori Preschool barnehage	0	0	4	6	5	7
990387915	Jar Fus barnehage AS	0	8	7	13	14	15
992255862	Jarenga barnehage	0	7	12	11	22	28
974554178	Jongskollen barnehage	1	9	27	23	25	34
974865718	Kamilleblom Familebarnehage	0	5	3	0	0	0
973471686	Kirkerudbakken barnehage	0	4	7	6	9	6
974143097	Kløverenga barnehage	0	5	2	5	7	6
974553910	Kolsås barnehage Avdeling Hovedhuset	0	0	4	18	16	27
990619352	Kolsås barnehage Avdeling Knerten	0	0	0	0	9	3
990619360	Kolsås barnehage Avdeling Småbarnshuset	0	14	13	0	0	0
982291127	Kolsåstrollet barnehage	0	14	18	10	8	10
974865041	Krokus Familiebarnehage Da	0	4	4	0	0	0
973336452	Lijordet barnehage	0	4	3	5	7	6
992924934	Lilja Familiebarnehage Avd Grinistubben 2	0	3	5	0	0	0
912807932	Lilja Familiebarnehage Avd Grinistubben 6	1	7	0	0	0	0
874180882	Lillehagen barnehage	0	7	9	27	24	25
974553732	Lillehagen barnehage Avd Helgerud	0	7	6	9	11	8
973999389	Lille-Jong barnehage	0	7	9	0	0	0
982913683	Lindegaard Familebarnehage	0	4	3	0	0	0
974553953	Lommedalen barnehage Avd Krydsby	0	7	10	11	13	13
988261645	Lommedalen barnehage Avdeling Lesterud	0	8	6	12	4	10
981232232	Lommedalen Menighets barnehage	0	1	2	5	4	3
995967707	Lysaker Idrettsbarnehage AS	0	20	24	20	19	15
815366832	Læringsverkstedet barnehage Avd Forneu Idrettsbarnehage	2	24	23	46	39	19
992413034	Læringsverkstedet barnehage Avd Haslum Idrettsbarnehage	0	17	18	21	25	25
999640869	Læringsverkstedet barnehage Avd Jar Idrettsbarnehage	0	14	14	26	19	26
974553899	Lønnås barnehage	0	17	23	17	22	27
973999427	Marihøna barnehage Sa	0	4	10	10	7	10
874116572	Martina Hansens Hospital Personalbarnehagen	0	8	11	14	7	13
979183453	Miniputten Familiebarnehage Da	1	4	3	0	0	0
976689577	Mortenskogen Familiebarnehage AS	0	7	1	0	0	0
873455802	Myrsnipa barnehage	0	3	3	5	5	3
974554224	Nadderudskogen barnehage Avd Gjønnesskogen	0	7	5	9	10	12
974553740	Nadderudskogen barnehage Avd Nadderud	0	2	8	10	9	17
974553848	Nansenparken barnehage	0	20	22	17	9	26
997301986	Nordraaksvei Familiebarnehage	2	5	1	0	0	0
916092725	Norlandia Sjøflyhavna AS Avd barnehage	0	35	54	17	3	0
984173059	Nøtteliten Familiebarnehage Avd Fagerstrandveien	1	5	2	0	0	0
984173067	Nøtteliten Familiebarnehage Avd Festningsveien	0	7	1	0	0	0
979437412	Nøtteliten Familiebarnehage Avd Gamle Drammensvei	1	0	1	0	0	0
987662530	Nøtteliten Familiebarnehage Avd Gamle Solbergvei 1	0	5	3	0	0	0
984173083	Nøtteliten Familiebarnehage Avd Gamle Solbergvei 5	0	6	2	0	0	0
986103082	Nøtteliten Familiebarnehage Avd Hans Øverlandsvei	0	4	4	0	0	0
979437447	Nøtteliten Familiebarnehage Avd Hestekleiva	0	2	4	0	0	0
914045533	Nøtteliten Familiebarnehage Avd Høvikveien 60	3	5	0	0	0	0
992592591	Nøtteliten Familiebarnehage Avd Kyrresvei	0	2	6	0	0	0
984173040	Nøtteliten Familiebarnehage Avd Langoddveien	0	3	3	0	0	0
895612162	Nøtteliten Familiebarnehage Avd Lillehagveien	0	2	6	0	0	0
984172540	Nøtteliten Familiebarnehage Avd Micheletvei	1	5	2	0	0	0
979437455	Nøtteliten Familiebarnehage Avd Snarøyveien	1	4	1	0	0	0
979437404	Nøtteliten Familiebarnehage Avd Storengveien	1	4	3	0	0	0
915150187	Nøtteliten Familiebarnehage Avd Strandalleen	0	3	4	0	0	0
979437390	Nøtteliten Familiebarnehage Avd Tveterlia	2	4	2	0	0	0
984173091	Nøtteliten Familiebarnehage Avd Velliveien	0	5	3	0	0	0
